preset name,cc 0,PGM,type,characters
clings,30,85,mallets,acoustic + intimate + metallic + shaking + stereo
crystal harmonics,30,98,mallets,acoustic + airy + shaking
cumulus,30,101,mallets,acoustic + bright + echo + lfo + metallic + stereo
dolce cristallo,30,116,mallets,acoustic + icy + intimate + metallic
electrical bacher,31,11,mallets,acoustic + dark + metallic + reverberant + stereo
etalophone,31,24,mallets,acoustic
etherry,31,25,mallets,acoustic
feltgrains,31,32,mallets,acoustic + airy + noise + shaking + woody
fm glacier,31,46,mallets,bright + clean + digital + echo + fm + icy + metallic + reverberant
fm hang perc,31,47,mallets,digital + fm + noise + woody
fukuel,31,59,mallets,acoustic + metallic + shaking
gamelan spinner,31,65,mallets,clean + lfo + metallic
grandfather clock,31,73,mallets,metallic
harpsichord,31,84,mallets,acoustic + clean
jaymar toy piano,31,101,mallets,acoustic + clean + dry + intimate
jenny pulse,31,104,mallets,analog + echo + lfo + reverberant + synthetic
labello,32,4,mallets,acoustic + fm
lamellas,32,9,mallets,acoustic + metallic + strumming
libellule,32,16,mallets,acoustic + fm + strumming
lytiny,32,29,mallets,acoustic + shaking
magic pluck,32,30,mallets,acoustic + airy + bright + layered + shaking
malabel,32,32,mallets,acoustic + shaking + strumming
marombox,32,36,mallets,acoustic + shaking
mattalo,32,38,mallets,acoustic + metallic
mbiraski,32,39,mallets,clean + intimate + metallic
music box bells,32,51,mallets,acoustic + dry + intimate + metallic
nimbus,32,59,mallets,acoustic + airy + echo + lfo
noisything,32,63,mallets,acoustic
ocean triggs,32,71,mallets,acoustic + echo + lfo + metallic
op2bell,32,78,mallets,fm + strumming
petit carillon,32,106,mallets,acoustic + metallic + shaking
pinkphone,32,111,mallets,acoustic
plinklies,32,116,mallets,acoustic + intimate + lfo + metallic
releasy,33,7,mallets,acoustic + fm + shaking
ren keyboard,33,8,mallets,acoustic + echo + intimate
shakepad,33,28,mallets,acoustic + shaking
sinefeel,33,42,mallets,fm
spring shimming bell,33,58,mallets,intimate + lfo + soft
tender stuck,33,86,mallets,acoustic + soft
thoria,33,93,mallets,acoustic + noise
tinytine,33,100,mallets,fm
tubular bell,33,103,mallets,fm
underwater,33,109,mallets,acoustic + dark
vibrim,33,117,mallets,acoustic + simple
woodybox,34,8,mallets,acoustic + strumming + woody
zenpercs,34,16,mallets,acoustic + intimate + soft
anthophila organ,30,16,organ,acoustic + ensemble
bits organ,30,45,organ,analog + bright + strumming
bleached organ,30,47,organ,fm + simple + stereo + woody
bright organ,30,59,organ,acoustic + fm
churchorgan,30,75,organ,acoustic
old pad machine,32,75,organ,analog + ensemble + evolving + lofi + synthetic
organ 1,32,82,organ,
organ 2,32,83,organ,
organ 3,32,84,organ,
organ 4,32,85,organ,electric
organ barbar,32,86,organ,
organ voxy,32,87,organ,
organo WereYouThere,32,88,organ,electric + reverberant
padorgan,32,97,organ,lofi + stereo
thick organ,33,92,organ,digital + dry + simple + soft
vorgaphone,33,124,organ,
woodorgan,34,6,organ,soft + warm + woody
abyss lands,30,0,pads,dark + echo + evolving + layered + reverberant
after the rain,30,5,pads,acoustic + noise
alenvers,30,7,pads,fm + lfo + stereo
algo call,30,8,pads,fm + stereo
anatolianpad,30,14,pads,analog + chords
another big one,30,15,pads,aggressive + big + reverberant + synthetic
astral titans,30,21,pads,analog + distorted + fm
bass pad,30,33,pads,aggressive + analog + distorted
beny's territory,30,38,pads,acoustic + layered
brave fields,30,58,pads,analog
carifem,30,63,pads,fm + lfo
choir,30,72,pads,synthetic + vocal
choir additive,30,73,pads,clean + vocal
classipad,30,80,pads,analog + ensemble + simple
